candidate_archetype,exact_deck_hash,scenario,assumed_uncertain_result,major_meta_weight_total,adequately_observed_weight,low_sample_weight,unobserved_weight,uncertain_weight,adequate_observed_contribution,observed_all_weight,observed_all_contribution,scenario_result,scenario_is_assumption,adequate_major_matchups,low_sample_major_matchups,unobserved_major_matchups,meta_weight_basis,interpretation
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,UNCERTAIN_AS_0_50,0.50000000,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,0.50000000,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,UNCERTAIN_AS_1,1.00000000,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,1.00000000,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,OBSERVED_WORST_FILL,,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,OBSERVED_ONLY_RENORMALIZED_LEGACY,,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,0.00000000,False,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_CELLS_ONLY_RENORMALIZED_NOT_FULL_META_ESTIMATE
kangaskhan_crustle,d9d823b6d4021728bd8676d61ff3f5018097a65cde99c3e3daa99f83db8432ef,UNOBSERVED_ONLY_AS_0,0.00000000,1.00000000,0.00000000,0.42857143,0.57142857,1.00000000,0.00000000,0.42857143,0.32142857,0.32142857,True,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,d9d823b6d4021728bd8676d61ff3f5018097a65cde99c3e3daa99f83db8432ef,UNOBSERVED_ONLY_AS_0_25,0.25000000,1.00000000,0.00000000,0.42857143,0.57142857,1.00000000,0.00000000,0.42857143,0.32142857,0.46428571,True,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,d9d823b6d4021728bd8676d61ff3f5018097a65cde99c3e3daa99f83db8432ef,UNOBSERVED_ONLY_AS_0_50,0.50000000,1.00000000,0.00000000,0.42857143,0.57142857,1.00000000,0.00000000,0.42857143,0.32142857,0.60714286,True,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,d9d823b6d4021728bd8676d61ff3f5018097a65cde99c3e3daa99f83db8432ef,UNCERTAIN_AS_0,0.00000000,1.00000000,0.00000000,0.42857143,0.57142857,1.00000000,0.00000000,0.42857143,0.32142857,0.00000000,True,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,d9d823b6d4021728bd8676d61ff3f5018097a65cde99c3e3daa99f83db8432ef,UNCERTAIN_AS_0_25,0.25000000,1.00000000,0.00000000,0.42857143,0.57142857,1.00000000,0.00000000,0.42857143,0.32142857,0.25000000,True,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,d9d823b6d4021728bd8676d61ff3f5018097a65cde99c3e3daa99f83db8432ef,UNCERTAIN_AS_0_50,0.50000000,1.00000000,0.00000000,0.42857143,0.57142857,1.00000000,0.00000000,0.42857143,0.32142857,0.50000000,True,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
